video_id,ground_truth,predicted,result_type,key_actions,summary
images_3_004,False,True,FP,ghost probing,The video shows a car approaching an intersection with a crosswalk. Pedestrians are crossing the str...
images_3_005,False,False,TN,none,The vehicle is driving on a city street with moderate traffic. The weather appears to be overcast. T...
images_3_006,True,False,FN,none,"The vehicle approaches an intersection with a traffic light. Initially, the vehicle is in the left l..."
images_3_007,True,True,TP,ghost probing,"The vehicle is driving on a road with moderate traffic. Initially, the vehicle maintains its speed. ..."
images_4_001,False,True,FP,ghost probing,"The vehicle is driving on a road at dusk. A cyclist suddenly appears from the left side of the road,..."
images_4_002,True,True,TP,ghost probing,"The video shows a car driving on a rural road. Initially, a van is seen ahead. As the car proceeds, ..."
images_4_003,True,True,TP,ghost probing,"The video shows a car driving down a street with parked cars on both sides. Initially, the car is st..."
images_4_004,True,False,FN,none,The vehicle starts driving on a city street with moderate traffic. The vehicle approaches an interse...
images_4_005,True,True,TP,ghost probing,The vehicle is driving on a road with moderate traffic. A bus is in front of the vehicle. A cyclist ...
images_4_006,True,True,TP,ghost probing,"The vehicle is driving through a tunnel at night. Initially, several pedestrians are visible in the ..."
images_4_007,False,False,TN,none,The vehicle starts at a standstill at an intersection. A traffic officer is standing on the right si...
images_4_008,False,True,FP,ghost probing,The video shows a car driving on a city street with moderate traffic. The car approaches an intersec...
images_5_001,False,False,TN,none,The vehicle starts driving on a straight road at night. There are buildings and shops on both sides ...
images_5_002,False,False,TN,none,The vehicle starts driving on a rural road. A white van passes by in the opposite direction. The veh...
images_5_003,False,False,TN,none,"The vehicle is driving on a city street with moderate traffic, including motorcycles and cars. Initi..."
images_5_004,False,False,TN,none,The car is driving on a road at night. The car approaches a person on a scooter. The car continues t...
images_5_005,True,False,FN,none,The vehicle approaches an intersection with several large trucks parked on the right. As the vehicle...
images_5_006,True,True,TP,ghost probing,The vehicle is driving on a straight road with trees and hills on both sides. The road appears to be...
images_5_007,False,False,TN,none,"The vehicle approaches an intersection with crosswalks. Other vehicles are present, including a scoo..."
images_5_008,False,True,FP,ghost probing,The vehicle is approaching an intersection on a rainy day. A pedestrian in a yellow raincoat is stan...
images_5_009,False,True,FP,ghost probing,"The vehicle is driving on a city street with moderate traffic. Initially, the car maintains its lane..."
images_5_010,True,False,FN,none,The car is driving on a rural road. A motorcyclist appears to lose control and falls in the middle o...
images_5_011,True,False,FN,none,The vehicle is driving on a narrow rural road lined with trees. The road appears to be straight with...
images_5_012,True,False,FN,none,The vehicle starts driving on a road with trees on both sides. It encounters another car driving in ...
images_5_013,False,False,TN,none,"The vehicle approaches an intersection at night. Initially, the view is partially obstructed by an o..."
images_5_014,False,False,TN,none,"The vehicle starts by approaching a gate with pedestrians crossing. The gate opens, and the vehicle ..."
images_5_015,True,False,FN,none,The vehicle starts at an intersection with a green light and proceeds straight. The vehicle then con...
images_5_016,False,True,FP,ghost probing,"The vehicle approaches an intersection. Initially, pedestrians are near parked cars on the left. A s..."
images_5_017,False,False,TN,none,"The vehicle approaches an intersection. Pedestrians are visible on the left side of the road, and a ..."
images_5_018,False,False,TN,none,The vehicle is driving on a wet road in a small town. The road is straight with buildings on both si...
images_5_019,False,False,TN,none,"The vehicle is initially stopped at a gate. The gate opens, and the vehicle proceeds forward. Pedest..."
images_5_020,True,True,TP,ghost probing,"The video shows a car driving down a city street. Initially, the road is relatively clear with a few..."
images_5_021,True,False,FN,none,The vehicle is driving straight on a road with buildings on both sides. There are other cars on the ...
images_5_022,False,False,TN,none,"The vehicle is approaching an intersection. Initially, the vehicle is behind a white van, obscuring ..."
images_5_023,True,False,FN,none,"The video shows the car driving straight on a city street. Initially, the road appears clear. A moto..."
images_5_024,False,False,TN,none,The vehicle approaches an intersection on a rainy day. The driver slows down as they approach the in...
images_5_025,False,False,TN,none,"The vehicle is driving on a wet road in rainy conditions. The traffic light turns green, and the veh..."
images_5_026,False,True,FP,ghost probing,"The vehicle is driving on a city street and approaching an intersection. Initially, the vehicle is d..."
images_5_027,True,False,FN,none,The vehicle is driving down a street with parked cars on both sides. A cyclist and pedestrians are p...
images_5_028,True,True,TP,ghost probing,"The vehicle is driving on a city street with moderate traffic. Initially, the vehicle maintains a sp..."
images_5_029,False,True,FP,ghost probing,"The vehicle is driving on a city street with moderate traffic. Initially, the vehicle is following o..."
images_5_030,False,False,TN,none,The vehicle is driving straight on a city street with moderate traffic. There are pedestrians on the...
images_5_031,True,True,TP,ghost probing,"The vehicle approaches an intersection. Initially, the road appears clear, but a scooter suddenly ap..."
images_5_032,False,True,FP,ghost probing,The vehicle is driving on a road with buildings on the right and a long structure on the left. Sever...
images_5_033,True,False,FN,none,The video shows a car driving on a road at night. The car is following a red car and approaches a cr...
images_5_034,False,False,TN,none,"The video shows a vehicle approaching an intersection at night. Initially, the traffic light is red,..."
images_5_035,True,True,TP,ghost probing,The vehicle starts driving on a city street with moderate traffic. A large bus is in front of the ve...
images_5_036,False,True,FP,ghost probing,The vehicle approaches an intersection with limited visibility due to large trucks obstructing the v...
images_5_037,True,True,TP,ghost probing,"The video shows a car driving on a road. Initially, the road appears clear. However, a motorcyclist ..."
images_5_038,True,False,FN,none,"The vehicle starts driving on a straight road in a rural area. The road is relatively empty, with so..."
images_5_040,False,True,FP,ghost probing,"The vehicle is driving down a city street. Initially, the road appears clear, but as the vehicle app..."
images_5_041,True,False,FN,none,The vehicle starts driving on a multi-lane road with other vehicles present. The vehicle approaches ...
images_5_042,False,True,FP,ghost probing,The vehicle starts driving down a street with buildings and parked cars on either side. A van passes...
images_5_043,True,False,FN,none,"The vehicle starts at an intersection, waits for the green light, and proceeds straight through the ..."
images_5_044,True,True,TP,ghost probing,The vehicle is driving on a wet road in an urban environment. The driver approaches a crosswalk. A c...
images_5_045,True,False,FN,none,The vehicle is driving on a city street in heavy traffic. The car is moving slowly and maintaining i...
images_5_046,True,True,TP,ghost probing,The video shows a car driving at night. The car approaches an intersection with a green light. A man...
images_5_047,True,True,TP,ghost probing,The vehicle is driving on a city street. The vehicle is approaching an intersection with crosswalks....
images_5_048,False,False,TN,none,The vehicle is driving on a multi-lane road with other vehicles. The road appears to be approaching ...
images_5_049,True,False,FN,none,The vehicle is driving down a street with cars parked on both sides. Pedestrians are visible in the ...
images_5_050,True,True,TP,ghost probing,The vehicle is approaching an intersection. A motorcycle with two riders suddenly appears from the l...
images_5_051,True,True,TP,ghost probing,The vehicle is driving on a road with light traffic. A red car passes in the opposite direction. A m...
images_5_052,True,True,TP,ghost probing,"The vehicle is driving at night on a road with street lights. As the video progresses, a person lyin..."
images_5_053,True,False,FN,none,The vehicle is driving down a narrow road in a rural area. The road is lined with buildings on both ...
images_5_054,False,False,TN,none,"The vehicle is at an intersection, initially behind another car. The traffic light changes, and the ..."
