video_id,ground_truth,model_result,ground_truth_label,result_category,filename
images_2_002,False,True,none,False Positive,actionSummary_images_2_002_gpt_4o.json
images_5_016,False,True,none,False Positive,actionSummary_images_5_016_gpt_4o.json
images_3_004,False,True,none,False Positive,actionSummary_images_3_004_gpt_4o.json
images_5_004,False,True,none,False Positive,actionSummary_images_5_004_gpt_4o.json
images_1_020,False,True,none,False Positive,actionSummary_images_1_020_gpt_4o.json
images_5_024,False,True,none,False Positive,actionSummary_images_5_024_gpt_4o.json
images_5_032,False,True,none,False Positive,actionSummary_images_5_032_gpt_4o.json
images_5_017,False,True,none,False Positive,actionSummary_images_5_017_gpt_4o.json
images_5_030,False,True,none,False Positive,actionSummary_images_5_030_gpt_4o.json
images_1_025,False,True,none,False Positive,actionSummary_images_1_025_gpt_4o.json
images_1_009,False,True,none,False Positive,actionSummary_images_1_009_gpt_4o.json
images_5_036,False,True,none,False Positive,actionSummary_images_5_036_gpt_4o.json
images_1_008,True,False,3s: ghost probing,False Negative,actionSummary_images_1_008_gpt_4o.json
images_5_011,True,False,3s: ghost probing,False Negative,actionSummary_images_5_011_gpt_4o.json
images_1_015,True,False,5s: ghost probing,False Negative,actionSummary_images_1_015_gpt_4o.json
images_5_049,True,False,3s: ghost probing,False Negative,actionSummary_images_5_049_gpt_4o.json
images_5_015,True,False,2s: ghost probing,False Negative,actionSummary_images_5_015_gpt_4o.json
images_5_041,True,False,5s: ghost probing,False Negative,actionSummary_images_5_041_gpt_4o.json
images_5_006,True,False,6s: ghost probing,False Negative,actionSummary_images_5_006_gpt_4o.json
